Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712566360851301685,200,2340003470,67,849,,1712566362433629000 ,1712566362435576000 ,1712566362459300000 ,1712566362485944000 ,1712566362487465000 ,1712566362585895000 ,1712566362745911000 ,1712566362746604000 ,,192
1712566360866264158,200,2325155835,67,849,,1712566362434048000 ,1712566362437255000 ,1712566362456104000 ,1712566362507399000 ,1712566362508333000 ,1712566362576555000 ,1712566362745959000 ,1712566362762542000 ,,195
1712566360821876291,200,2369573113,67,849,,1712566362384845000 ,1712566362386417000 ,1712566362388314000 ,1712566362421232000 ,1712566362422184000 ,1712566362589030000 ,1712566362758933000 ,1712566362759550000 ,,186
1712566360841757497,200,2349706987,67,849,,1712566362433036000 ,1712566362434140000 ,1712566362448842000 ,1712566362501150000 ,1712566362505923000 ,1712566362628003000 ,1712566362798281000 ,1712566362798982000 ,,190
1712566360806574878,200,2384893598,67,849,,1712566362384885000 ,1712566362386652000 ,1712566362396858000 ,1712566362420989000 ,1712566362422385000 ,1712566362541054000 ,1712566362766252000 ,1712566362773707000 ,,183
1712566360847443382,200,2344478783,67,849,,1712566362433679000 ,1712566362435556000 ,1712566362450942000 ,1712566362489820000 ,1712566362490505000 ,1712566362568883000 ,1712566362759941000 ,1712566362766347000 ,,191
1712566360861057286,200,2331288328,67,849,,1712566362434042000 ,1712566362437188000 ,1712566362456145000 ,1712566362479278000 ,1712566362479997000 ,1712566362614168000 ,1712566362805334000 ,1712566362805984000 ,,194
1712566360931773119,200,2260747214,67,849,,1712566362509083000 ,1712566362509113000 ,1712566362521026000 ,1712566362553174000 ,1712566362553699000 ,1712566362627776000 ,1712566362832961000 ,1712566362833655000 ,,208
1712566360837045745,200,2355517107,67,849,,1712566362426487000 ,1712566362426784000 ,1712566362451176000 ,1712566362491674000 ,1712566362492323000 ,1712566362600689000 ,1712566362805743000 ,1712566362808781000 ,,189
1712566360811861375,200,2380711392,67,849,,1712566362384881000 ,1712566362386628000 ,1712566362396841000 ,1712566362424105000 ,1712566362424592000 ,1712566362560603000 ,1712566362787104000 ,1712566362805856000 ,,184
