Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712150427040692133,200,6062934762,62,802,,1712150431709614000 ,1712150431712647000 ,1712150431713016000 ,1712150431715914000 ,1712150431716018000 ,1712150431724647000 ,1712150432122919000 ,1712150432124349000 ,,357
1712150427050993603,200,6053474814,62,802,,1712150431709609000 ,1712150431712681000 ,1712150431753363000 ,1712150431820289000 ,1712150431825442000 ,1712150431829666000 ,1712150432252205000 ,1712150432252946000 ,,358
1712150426980979284,200,6807518391,62,802,,1712150431709098000 ,1712150431711998000 ,1712150431736912000 ,1712150431750190000 ,1712150431751509000 ,1712150431819443000 ,1712150432433214000 ,1712150432436956000 ,,351
1712150427091325557,200,6697172124,62,802,,1712150431811076000 ,1712150431813215000 ,1712150431832223000 ,1712150431848892000 ,1712150431849418000 ,1712150431853904000 ,1712150432482995000 ,1712150432488564000 ,,362
1712150427110631357,200,6677866284,62,802,,1712150431709505000 ,1712150431712755000 ,1712150431736607000 ,1712150431822219000 ,1712150431833012000 ,1712150431947370000 ,1712150432486215000 ,1712150432487120000 ,,364
1712150427031328769,200,6757179562,62,802,,1712150431709543000 ,1712150431712552000 ,1712150431756226000 ,1712150431853920000 ,1712150431855879000 ,1712150431938092000 ,1712150432468135000 ,1712150432469976000 ,,356
1712150427000804909,200,6787739701,62,802,,1712150431709479000 ,1712150431719125000 ,1712150431719416000 ,1712150431722325000 ,1712150431740485000 ,1712150431873193000 ,1712150432367922000 ,1712150432369309000 ,,353
1712150426850880623,200,6937669257,62,802,,1712150431808939000 ,1712150431811464000 ,1712150431832219000 ,1712150431835836000 ,1712150431836348000 ,1712150431951318000 ,1712150432522085000 ,1712150432523052000 ,,338
1712150427171202758,200,6618345421,62,802,,1712150431894872000 ,1712150431909355000 ,1712150431922390000 ,1712150431931787000 ,1712150431933492000 ,1712150431955240000 ,1712150432528597000 ,1712150432530142000 ,,370
1712150427140473122,200,6649101531,62,802,,1712150431811267000 ,1712150431813259000 ,1712150431813743000 ,1712150431822927000 ,1712150431838635000 ,1712150431938286000 ,1712150432504289000 ,1712150432507977000 ,,367
1712150427071328441,200,6718272366,62,802,,1712150431709495000 ,1712150431718853000 ,1712150431736823000 ,1712150431770139000 ,1712150431782369000 ,1712150431873466000 ,1712150432439555000 ,1712150432451028000 ,,360
1712150427021248267,200,6768386250,62,802,,1712150431709470000 ,1712150431736430000 ,1712150431756169000 ,1712150431838233000 ,1712150431841578000 ,1712150432061742000 ,1712150432561964000 ,1712150432563927000 ,,355
1712150427061065361,200,6728579251,62,802,,1712150431709580000 ,1712150431722899000 ,1712150431753574000 ,1712150431936851000 ,1712150431955475000 ,1712150432062242000 ,1712150432568369000 ,1712150432570695000 ,,359
1712150427580896350,200,6208748647,62,802,,1712150431982563000 ,1712150432034163000 ,1712150432064802000 ,1712150432185423000 ,1712150432192375000 ,1712150432258097000 ,1712150432585935000 ,1712150432589800000 ,,411
1712150426990718831,200,7064304444,62,802,,1712150431706041000 ,1712150431711203000 ,1712150431756362000 ,1712150431942628000 ,1712150431947817000 ,1712150432223192000 ,1712150432625243000 ,1712150432628370000 ,,352
1712150427271067695,200,6786798751,62,802,,1712150431976903000 ,1712150431991984000 ,1712150432033167000 ,1712150432207883000 ,1712150432210668000 ,1712150432259041000 ,1712150432881463000 ,1712150432894456000 ,,380
1712150427530763227,200,6527212190,62,802,,1712150431982400000 ,1712150432026885000 ,1712150432059561000 ,1712150432123305000 ,1712150432126774000 ,1712150432252328000 ,1712150432824291000 ,1712150432826812000 ,,406
1712150427351169601,200,6893486261,62,802,,1712150431981961000 ,1712150432021420000 ,1712150432052526000 ,1712150432219810000 ,1712150432222988000 ,1712150432258435000 ,1712150432994670000 ,1712150433003131000 ,,388
1712150427320439554,200,6924220764,62,802,,1712150431981992000 ,1712150432017196000 ,1712150432027378000 ,1712150432289312000 ,1712150432289421000 ,1712150432441727000 ,1712150433196181000 ,1712150433199378000 ,,385
1712150427120933362,200,7123776375,62,802,,1712150431811246000 ,1712150431813342000 ,1712150431813722000 ,1712150432014700000 ,1712150432021743000 ,1712150432281409000 ,1712150433121588000 ,1712150433125580000 ,,365
1712150427130755868,200,7113990239,62,802,,1712150431811288000 ,1712150431815897000 ,1712150431854097000 ,1712150431945020000 ,1712150431955302000 ,1712150432218643000 ,1712150433090258000 ,1712150433103580000 ,,366
