Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712155508144831022,200,23897802717,64,901,,1712155525910677000 ,1712155525966421000 ,1712155525966699000 ,1712155526653684000 ,1712155526665208000 ,1712155527566318000 ,1712155529715251000 ,1712155529722579000 ,,769
1712155508774905459,200,23267733136,64,901,,1712155527564732000 ,1712155527575320000 ,1712155527614467000 ,1712155527795025000 ,1712155527802953000 ,1712155527806555000 ,1712155529846000000 ,1712155529854044000 ,,832
1712155507885003195,200,24157965575,64,901,,1712155524842338000 ,1712155524893058000 ,1712155525066755000 ,1712155526184615000 ,1712155526198700000 ,1712155527520277000 ,1712155529803099000 ,1712155529808366000 ,,743
1712155509124746099,200,23273063227,64,901,,1712155528125895000 ,1712155528126046000 ,1712155528126420000 ,1712155528129806000 ,1712155528129933000 ,1712155528191059000 ,1712155529975667000 ,1712155529984959000 ,,867
1712155508764691688,200,23814336058,64,901,,1712155527565224000 ,1712155527586392000 ,1712155527595412000 ,1712155528121679000 ,1712155528136200000 ,1712155528172025000 ,1712155530200591000 ,1712155530206097000 ,,831
1712155508564469310,200,24014572480,64,901,,1712155527334969000 ,1712155527349579000 ,1712155527349841000 ,1712155527762357000 ,1712155527777533000 ,1712155528061381000 ,1712155530006357000 ,1712155530008374000 ,,811
1712155507774577152,200,24804506607,64,901,,1712155524808710000 ,1712155524867770000 ,1712155524962423000 ,1712155527173761000 ,1712155527180758000 ,1712155527702346000 ,1712155530082862000 ,1712155530083441000 ,,732
1712155508654479942,200,23924612593,64,901,,1712155527334928000 ,1712155527349039000 ,1712155527350126000 ,1712155528108482000 ,1712155528120641000 ,1712155528140175000 ,1712155530023125000 ,1712155530031311000 ,,820
1712155508704615655,200,23874505663,64,901,,1712155527565789000 ,1712155527582593000 ,1712155527582928000 ,1712155527585696000 ,1712155527591572000 ,1712155528022036000 ,1712155530123586000 ,1712155530124204000 ,,825
1712155508734255233,200,23844875911,64,901,,1712155527564725000 ,1712155527575380000 ,1712155527575939000 ,1712155527578744000 ,1712155527578886000 ,1712155527696611000 ,1712155530073580000 ,1712155530088041000 ,,828
