Start,Status,Latency,ByteIn,ByteOut,Error,Scheduled,modelRead,modelBuild,tensors,imageRead,imgResize,interpreterLoops,outputPrep,Name,SquenceNumber
1712160301876762433,200,17857868154,71,849,,1712160315674074000 ,1712160315681013000 ,1712160315735620000 ,1712160316122657000 ,1712160316232203000 ,1712160317384288000 ,1712160317788122000 ,1712160317791748000 ,,859
1712160301711640347,200,18023009087,71,849,,1712160315253665000 ,1712160315253701000 ,1712160315302424000 ,1712160315585444000 ,1712160315595302000 ,1712160316212351000 ,1712160317661070000 ,1712160317662038000 ,,826
1712160301981758207,200,17752902252,71,849,,1712160316452036000 ,1712160316471162000 ,1712160316615284000 ,1712160316639973000 ,1712160316659980000 ,1712160316677413000 ,1712160317687401000 ,1712160317689158000 ,,880
1712160301851782924,200,17882890285,71,849,,1712160315671762000 ,1712160315676623000 ,1712160315743556000 ,1712160316096653000 ,1712160316278939000 ,1712160316389265000 ,1712160317645302000 ,1712160317646129000 ,,854
1712160301836098783,200,17898582236,71,849,,1712160315671439000 ,1712160315678231000 ,1712160315741294000 ,1712160315852217000 ,1712160315860277000 ,1712160316144267000 ,1712160317555547000 ,1712160317556167000 ,,851
1712160301926316286,200,17808392492,71,849,,1712160316451196000 ,1712160316474003000 ,1712160316615223000 ,1712160317316427000 ,1712160317319404000 ,1712160317428731000 ,1712160317818894000 ,1712160317819627000 ,,869
1712160301946643324,200,17878482450,71,849,,1712160316452041000 ,1712160316471188000 ,1712160316615481000 ,1712160317378108000 ,1712160317381977000 ,1712160317396542000 ,1712160317897164000 ,1712160317898195000 ,,873
1712160301991118581,200,17834086192,71,849,,1712160317358821000 ,1712160317360408000 ,1712160317369655000 ,1712160317444042000 ,1712160317450817000 ,1712160317554262000 ,1712160317986280000 ,1712160317993231000 ,,882
1712160302026657677,200,17798582568,71,849,,1712160317412325000 ,1712160317419588000 ,1712160317481740000 ,1712160317524040000 ,1712160317527223000 ,1712160317535325000 ,1712160317948107000 ,1712160317951542000 ,,889
1712160302005850196,200,17819401001,71,849,,1712160317359627000 ,1712160317361187000 ,1712160317378472000 ,1712160317449107000 ,1712160317449592000 ,1712160317462211000 ,1712160318089802000 ,1712160318090434000 ,,885
1712160301936049598,200,17894638149,71,849,,1712160316421314000 ,1712160316421932000 ,1712160316573424000 ,1712160317344527000 ,1712160317346654000 ,1712160317401589000 ,1712160317948712000 ,1712160317953448000 ,,871
1712160301841230927,200,17997796515,71,849,,1712160315671746000 ,1712160315676559000 ,1712160315743821000 ,1712160316123521000 ,1712160316309721000 ,1712160317518505000 ,1712160318036251000 ,1712160318039272000 ,,852
1712160301951409010,200,17893568873,71,849,,1712160316450945000 ,1712160316462447000 ,1712160316596862000 ,1712160317463241000 ,1712160317469073000 ,1712160317497269000 ,1712160318057310000 ,1712160318058178000 ,,874
1712160302021749151,200,17830108926,71,849,,1712160317401297000 ,1712160317401350000 ,1712160317401694000 ,1712160317477787000 ,1712160317485045000 ,1712160317611543000 ,1712160318118515000 ,1712160318119135000 ,,888
1712160302056051853,200,17799272984,71,849,,1712160317412253000 ,1712160317419565000 ,1712160317441708000 ,1712160317665151000 ,1712160317666894000 ,1712160317703345000 ,1712160318124004000 ,1712160318129517000 ,,895
1712160301776710754,200,18079334002,71,849,,1712160317352989000 ,1712160317356905000 ,1712160317357062000 ,1712160317618047000 ,1712160317619988000 ,1712160317701771000 ,1712160318191532000 ,1712160318192137000 ,,839
1712160302001143209,200,17859022972,71,849,,1712160317359617000 ,1712160317361199000 ,1712160317366035000 ,1712160317483117000 ,1712160317485045000 ,1712160317642340000 ,1712160318148362000 ,1712160318150354000 ,,884
1712160301976026526,200,17884211014,71,849,,1712160316452031000 ,1712160316462497000 ,1712160316471042000 ,1712160317463281000 ,1712160317472610000 ,1712160317702686000 ,1712160318177325000 ,1712160318180927000 ,,879
1712160301961787674,200,17898492575,71,849,,1712160316421542000 ,1712160316421588000 ,1712160316446422000 ,1712160317379822000 ,1712160317382376000 ,1712160317692155000 ,1712160318180704000 ,1712160318183713000 ,,876
1712160302071052535,200,17798008932,71,849,,1712160317516046000 ,1712160317518103000 ,1712160317540379000 ,1712160317757132000 ,1712160317764990000 ,1712160317850883000 ,1712160318419601000 ,1712160318420798000 ,,898
1712160302040819556,200,17828244247,71,849,,1712160317412241000 ,1712160317419548000 ,1712160317439515000 ,1712160317524409000 ,1712160317531101000 ,1712160317792337000 ,1712160318192917000 ,1712160318193468000 ,,892
1712160301806150540,200,18062915743,71,849,,1712160317422523000 ,1712160317429122000 ,1712160317429311000 ,1712160317700718000 ,1712160317715118000 ,1712160317824062000 ,1712160318302224000 ,1712160318302814000 ,,845
1712160302095873288,200,17773227915,71,849,,1712160317515976000 ,1712160317517955000 ,1712160317541969000 ,1712160317773861000 ,1712160317777341000 ,1712160317865005000 ,1712160318334764000 ,1712160318336490000 ,,903
1712160302171350269,200,17697758623,71,849,,1712160317596646000 ,1712160317600527000 ,1712160317623355000 ,1712160317878936000 ,1712160317899623000 ,1712160317909428000 ,1712160318434161000 ,1712160318441902000 ,,918
1712160302081815166,200,17787324760,71,849,,1712160317515965000 ,1712160317517925000 ,1712160317525777000 ,1712160317818505000 ,1712160317818614000 ,1712160317844631000 ,1712160318311326000 ,1712160318312139000 ,,900
1712160301606306171,200,18262845710,71,849,,1712160316421477000 ,1712160316433473000 ,1712160316433854000 ,1712160317457548000 ,1712160317459156000 ,1712160317560017000 ,1712160318296499000 ,1712160318297346000 ,,805
1712160302126545997,200,17742607079,71,849,,1712160317597063000 ,1712160317600380000 ,1712160317626912000 ,1712160317759604000 ,1712160317766464000 ,1712160317865651000 ,1712160318458794000 ,1712160318459652000 ,,909
1712160302106014789,200,17776531119,71,849,,1712160317517355000 ,1712160317518431000 ,1712160317544487000 ,1712160317773596000 ,1712160317777354000 ,1712160317847358000 ,1712160318293933000 ,1712160318297487000 ,,905
1712160302046187211,200,17836419076,71,849,,1712160317412319000 ,1712160317419091000 ,1712160317481439000 ,1712160317567645000 ,1712160317570678000 ,1712160317841899000 ,1712160318517365000 ,1712160318518198000 ,,893
1712160302146273052,200,17736361835,71,849,,1712160317597209000 ,1712160317600449000 ,1712160317608544000 ,1712160317740654000 ,1712160317745957000 ,1712160317829682000 ,1712160318496379000 ,1712160318501047000 ,,913
1712160302051011952,200,17843115620,71,849,,1712160317412232000 ,1712160317412989000 ,1712160317437967000 ,1712160317526674000 ,1712160317536161000 ,1712160317767491000 ,1712160318548805000 ,1712160318552005000 ,,894
1712160302276650279,200,17617575461,71,849,,1712160317936520000 ,1712160317940747000 ,1712160317999064000 ,1712160318075987000 ,1712160318076090000 ,1712160318079891000 ,1712160318540258000 ,1712160318542023000 ,,939
1712160302030827137,200,17865751291,71,849,,1712160317412248000 ,1712160317419530000 ,1712160317460961000 ,1712160317747720000 ,1712160317756728000 ,1712160317764632000 ,1712160318531332000 ,1712160318537379000 ,,890
1712160302191498231,200,17711275787,71,849,,1712160317596943000 ,1712160317600474000 ,1712160317626725000 ,1712160317896326000 ,1712160317903074000 ,1712160317911280000 ,1712160318545415000 ,1712160318547565000 ,,922
1712160302136518359,200,18042837641,71,849,,1712160317596562000 ,1712160317600133000 ,1712160317626552000 ,1712160317829532000 ,1712160317834648000 ,1712160317876904000 ,1712160318582757000 ,1712160318583369000 ,,911
1712160302100870778,200,18081133106,71,849,,1712160317517391000 ,1712160317518591000 ,1712160317544661000 ,1712160317696903000 ,1712160317712568000 ,1712160317876503000 ,1712160318570121000 ,1712160318575703000 ,,904
1712160302061844973,200,18120160360,71,849,,1712160317412296000 ,1712160317419106000 ,1712160317480933000 ,1712160317637420000 ,1712160317641880000 ,1712160317894986000 ,1712160318729942000 ,1712160318730676000 ,,896
1712160302200878478,200,17981162935,71,849,,1712160317596630000 ,1712160317600649000 ,1712160317611458000 ,1712160317856576000 ,1712160317879990000 ,1712160317887155000 ,1712160318651569000 ,1712160318652343000 ,,924
